Model,Method,Rep4 before,Rep4 after,Δ Rep4,Rep8 before,Rep8 after,JS before,JS after,Δ JS,Vocab Δ
GPT-2 (124M),Baseline,0.419,0.581,+0.162,0.267,0.464,0.420,0.343,-0.077,-0.049
GPT-2 (124M),Replay-25%,0.460,0.413,-0.047,0.321,0.267,0.421,0.361,-0.059,+0.006
GPT-2 (124M),MER-lite,0.457,0.466,+0.010,0.315,0.327,0.423,0.314,-0.109,+0.023
GPT-2 (124M),EWC,0.472,0.621,+0.148,0.321,0.506,0.421,0.336,-0.084,-0.030
GPT-2 (124M),Bandit Replay,0.476,0.421,-0.055,0.329,0.273,0.420,0.366,-0.054,-0.002
GPT-2 (124M),RMGS,0.458,0.652,+0.194,0.323,0.542,0.422,0.327,-0.095,-0.017
Qwen3 (0.6B),Baseline,0.257,0.583,+0.326,0.122,0.468,0.287,0.259,-0.028,+0.021
Qwen3 (0.6B),Replay-25%,0.267,0.510,+0.243,0.116,0.386,0.272,0.276,+0.004,-0.003
Qwen3 (0.6B),MER-lite,0.227,0.563,+0.336,0.076,0.474,0.267,0.257,-0.010,-0.010
Qwen3 (0.6B),EWC,0.213,0.528,+0.314,0.092,0.416,0.264,0.245,-0.019,-0.005
Qwen3 (0.6B),Bandit Replay,0.213,0.215,+0.002,0.092,0.074,0.264,0.271,+0.007,-0.015
Qwen3 (0.6B),RMGS,0.213,0.545,+0.332,0.092,0.470,0.264,0.246,-0.018,-0.008
Gemma3 (1B),Baseline,0.075,0.158,+0.083,0.004,0.036,0.259,0.272,+0.013,-0.026
Gemma3 (1B),Replay-25%,0.095,0.202,+0.107,0.010,0.054,0.283,0.274,-0.009,-0.028
Gemma3 (1B),MER-lite,0.083,0.194,+0.111,0.006,0.056,0.280,0.265,-0.015,-0.013
Gemma3 (1B),EWC,0.095,0.336,+0.241,0.008,0.181,0.290,0.287,-0.003,-0.010
Gemma3 (1B),Bandit Replay,0.083,0.069,-0.014,0.008,0.000,0.267,0.279,+0.013,-0.001
Gemma3 (1B),RMGS,0.087,0.154,+0.067,0.006,0.030,0.273,0.263,-0.010,+0.002
Llama3 (1B),Baseline,0.140,0.381,+0.241,0.036,0.253,0.245,0.278,+0.033,-0.047
Llama3 (1B),Replay-25%,0.144,0.259,+0.115,0.044,0.122,0.240,0.282,+0.042,-0.041
Llama3 (1B),MER-lite,0.132,0.455,+0.322,0.028,0.363,0.242,0.278,+0.037,-0.026
Llama3 (1B),EWC,0.150,0.360,+0.209,0.040,0.223,0.243,0.274,+0.031,-0.046
Llama3 (1B),Bandit Replay,0.130,0.073,-0.057,0.024,0.008,0.250,0.256,+0.006,-0.024
Llama3 (1B),RMGS,0.126,0.457,+0.330,0.032,0.317,0.245,0.272,+0.027,-0.039
